ISIN;Trading Symbol;Company;Sector;Subsector;Country;Instrument Exchange
DE0005545503;1U1;1&1 AG ;Telecommunication;Wireless Communication;Germany;XETRA + FRANKFURT 
DE0005118806;TGT;11 88 0 SOLUTIONS AG;Telecommunication;Telecommunication Services;Germany;XETRA + FRANKFURT 
DE0005167902;UUU;3U HOLDING AG;Industrial;Industrial Products & Services;Germany;XETRA + FRANKFURT 
DE000A3E5C40;VSC;4SC AG;Pharma & Healthcare;Biotechnology;Germany;XETRA + FRANKFURT 
DE0005408116;ARL;AAREAL BANK AG;Banks;Mortgage Banks;Germany;XETRA + FRANKFURT 
DE000A3CNK42;YOU;ABOUT YOU Holding SE;Retail;Retail, Internet ;Germany;XETRA + FRANKFURT 
DE000A0KFKB3;A4Y;ACCENTRO REAL ESTATE AG  O.N.;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
NL0000238145;APM;AD PEPPER MEDIA   EO 0,05;Media;Advertising;Netherlands;XETRA + FRANKFURT 
DE000A0Z23Q5;ADN1;ADESSO SE  INH O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT 
DE000A1EWWW0;ADS;ADIDAS AG NA O.N.;Consumer;Clothing & Footwear;Germany;XETRA + FRANKFURT 
LU1250154413;ADJ;ADLER GROUP S.A.;Financial Services;Real Estate;Luxembourg;XETRA + FRANKFURT 
DE0005008007;ADL;ADLER REAL ESTATE AG;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE0005103006;ADV;ADVA OPTICAL NETWORKING SE  O.N.;Technology;Communications Technology;Germany;XETRA + FRANKFURT 
NL0000235190;AIR;AIRBUS;Industrial ;Heavy Machinery;Netherlands;XETRA + FRANKFURT 
DE000A0WMPJ6;AIXA;AIXTRON SE NA O.N.;Technology;Semiconductors;Germany;XETRA + FRANKFURT 
DE0005110001;A1OS;ALL FOR ONE GROUP NA O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT 
DE000A0DPRE6;LNSX;Allane SE;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT 
DE0008404005;ALV;ALLIANZ SE NA O.N.;Insurance;Insurance;Germany;XETRA + FRANKFURT 
BG1100003166�;A4L;ALLTERCO JSCo,;Technology;Communications Technology;Bulgaria;FRANKFURT
DE000A0LD2U1;AOX;ALSTRIA OFFICE REIT-AG;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE000A2YNT30;ACT;ALZCHEM GROUP AG INH O.N.;Chemicals;Chemicals, Specialty;Germany;XETRA + FRANKFURT 
DE0005093108;AAD;AMADEUS FIRE AG;Industrial;Industrial Products & Services;Germany;XETRA + FRANKFURT 
LU1673108939;AT1;AROUNDTOWN EO-,01;Financial Services;Real Estate;Cyprus;XETRA + FRANKFURT 
DE000A1K0375;ART;ARTNET AG NA O.N.;Retail ;Retail, Internet ;Germany;XETRA + FRANKFURT 
DE0005104400;AOF;ATOSS SOFTWARE AG;Software;Software;Germany;XETRA + FRANKFURT 
DE000A2DAM03;AAG;AUMANN AG  INH O.N.;Industrial;Industrial Machinery;Germany;XETRA + FRANKFURT 
DE0006766504;NDA;AURUBIS AG;Basic Resources;Steel & Other Metals;Germany;XETRA + FRANKFURT 
DE000A2LQ884;AG1;AUTO1 GROUP SE;Retail;Retail, Internet;Germany;XETRA + FRANKFURT 
DE000BASF111;BAS;BASF SE NA O.N.;Chemicals;Chemicals, Specialty;Germany;XETRA + FRANKFURT 
DE0005102008;BSL;BASLER AG O.N.;Industrial;Advanced Industrial Equipment;Germany;XETRA + FRANKFURT 
DE000A1X3YY0;BST;BASTEI LUEBBE AG  O.N.;Media;Publishing & Printing;Germany;XETRA + FRANKFURT 
DE0005168108;B5A;BAUER AG;Construction;Construction & Engineering;Germany;XETRA + FRANKFURT 
DE0005190037;BMW3;BAY.MOTOREN WERKE  VZO;Automobile;Automobile Manufacturers;Germany;XETRA + FRANKFURT 
DE0005190003;BMW;BAY.MOTOREN WERKE AG ST;Automobile;Automobile Manufacturers;Germany;XETRA + FRANKFURT 
DE000BAY0017;BAYN;BAYER AG NA O.N.;Chemicals;Chemicals, Specialty;Germany;XETRA + FRANKFURT 
DE0005194005;BYW;BAYWA AG   NA O.N.;Industrial ;Industrial Products & Services ;Germany;XETRA + FRANKFURT 
DE0005194062;BYW6;BAYWA AG VINK.NA. O.N.;Industrial ;Industrial Products & Services ;Germany;XETRA + FRANKFURT 
CH0038389992;BBZA;BB BIOTECH NAM.   SF 0,20;Pharma & Healthcare;Biotechnology;Switzerland;XETRA + FRANKFURT 
DE0005158703;BC8;BECHTLE AG O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT 
LU1704650164;BFSA;BEFESA S.A. ORD. O.N.;Industrial;Industrial Products & Services;Luxembourg;XETRA + FRANKFURT 
DE0005200000;BEI;BEIERSDORF AG O.N.;Consumer;Personal Products;Germany;XETRA + FRANKFURT 
DE0005232805;BDT;BERTRANDT AG O.N.;Automobile;Auto Parts & Equipment;Germany;XETRA + FRANKFURT 
DE000A0DNAY5;ACX;BET-AT-HOME.COM AG O.N.;Retail;Retail, Internet;Germany;XETRA + FRANKFURT 
DE000A3CQ7F4;BIKE;BIKE24 HOLDING AG;Retail;Retail, Internet ;Germany;XETRA + FRANKFURT 
DE0005909006;GBF;BILFINGER SE O.N.;Industrial ;Industrial Products & Services ;Germany;XETRA + FRANKFURT 
DE0006046113;B8F;BIOFRONTERA AG NA O.N.;Pharma & Healthcare;Biotechnology;Germany;XETRA + FRANKFURT 
DE0005227201;BIO;BIOTEST AG ST O.N.;Pharma & Healthcare;Pharmatceuticals;Germany;XETRA + FRANKFURT 
DE0005227235;BIO3;BIOTEST AG VZ O.N.;Pharma & Healthcare;Pharmatceuticals;Germany;XETRA + FRANKFURT 
DE0005493092;BVB;BORUSSIA DORTMUND;Media;Movies & Entertainment;Germany;XETRA + FRANKFURT 
DE0005203947;BNN;BRAIN BIOTECH AG;Chemicals;Chemicals, Specialty;Germany;XETRA + FRANKFURT 
DE000A1DAHH0;BNR;BRENNTAG SE;Industrial;Industrial Products & Services;Germany;XETRA + FRANKFURT 
DE000A2GSU42;BKHT;BROCKHAUS TECHNOLOGIES AG;Technology;Information Technology;Germany;XETRA + FRANKFURT 
DE0005419105;COK;CANCOM SE O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT 
DE000A2G9M17;CPX;CAPSENSIXX AG  INH O.N.;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT 
DE0005313704;AFX;CARL ZEISS MEDITEC AG;Pharma & Healthcare;Medical Technology;Germany;XETRA + FRANKFURT 
DE0007257503;CEC;CECONOMY AG  ST O.N.;Retail;Retail, Specialty;Germany;XETRA + FRANKFURT 
DE0007257537;CEC1;CECONOMY AG  VZO O.N.;Retail;Retail, Specialty;Germany;XETRA + FRANKFURT 
DE0005407100;CSH;CENIT AG O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT 
DE0005403901;CWC;CEWE STIFTUNG KGAA  O.N.;Consumer;Leisure ;Germany;XETRA + FRANKFURT 
DE000A3CRRN9;C3RY;CHERRY AG;Technology;Electronic Components & Hardware;Germany;XETRA + FRANKFURT 
DE000A2QDNX9;C0M;COM.CHARG.SOL.AG INH.O.N.;Industrial ;Advanced Industrial Equipment ;Germany;XETRA + FRANKFURT 
DE000CBK1001;CBK;COMMERZBANK AG;Banks;Credit Banks;Germany;XETRA + FRANKFURT 
DE000A288904;COP;COMPUGROUP MED. NA O.N.;Software;Software;Germany;XETRA + FRANKFURT 
DE0005439004;CON;CONTINENTAL AG O.N.;Automobile;Auto Parts & Equipment;Germany;XETRA + FRANKFURT 
LU1296758029;CCAP;CORESTATE CAPITAL HLDG;Financial Services;Real Estate;Luxembourg;XETRA + FRANKFURT 
DE0006062144;1COV;COVESTRO AG  O.N.;Chemicals;Chemicals, Specialty;Germany;XETRA + FRANKFURT 
DE000A2LQUA5;CSQ;CREDITSHELF AG  IA O.N.;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT 
DE000A0LAUP1;CE2;CROPENERGIES AG;Industrial;Renewable Energies;Germany;XETRA + FRANKFURT 
DE0005470306;EVD;CTS EVENTIM KGAA;Media;Movies & Entertainment ;Germany;XETRA + FRANKFURT 
DE000DTR0CK8;DTG�;DAIMLER TRUCK HOLDING AG;Industrial;Heavy Machinery;Germany;XETRA + FRANKFURT 
DE0005498901;DAM;DATA MODUL AG O.N.;Technology;Electronic Components & Hardware;Germany;XETRA + FRANKFURT 
DE000A2E4K43;DHER;DELIVERY HERO SE NA O.N.;Retail;Retail, Internet;Germany;XETRA + FRANKFURT 
DE0005146807;DEX;DELTICOM AG  NA O.N.;Retail;Retail, Internet;Germany;XETRA + FRANKFURT 
DE000A0XFSF0;DMRE;DEMIRE DEUTSCHE MITTELSTAND REAL ESTATE AG;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE000A2GS5D8;DMP;DERMAPHARM HOLDING INH O.N.;Pharma & Healthcare;Pharmaceuticals;Germany;XETRA + FRANKFURT 
DE0005140008;DBK;DEUTSCHE BANK AG NA O.N.;Banks;Credit Banks;Germany;XETRA + FRANKFURT 
DE0005810055;DB1;DEUTSCHE BOERSE NA O.N.;Financial Services;Securities Brokers;Germany;XETRA + FRANKFURT 
DE0007480204;DEQ;DEUTSCHE EUROSHOP NA O.N.;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE0005552004;DPW;DEUTSCHE POST AG NA O.N.;Transportation & Logistics;Logistics;Germany;XETRA + FRANKFURT 
DE0006305006;DEZ;DEUTZ AG O.N.;Industrial;Industrial Machinery;Germany;XETRA + FRANKFURT 
DE000A2NBVD5;DFV;DFV DEUTSCHE FAMILIENVERSICHERUNG  O.N.;Insurance;Insurance;Germany;XETRA + FRANKFURT 
DE000A1X3XX4;DIC;DIC ASSET AG NA O.N.;Financial Services;Real Estate;Great Britain;XETRA + FRANKFURT 
US2536511031;DBD;DIEBOLD NIXDORF DL 1,25;Technology;Electronic Components & Hardware;Germany;XETRA + FRANKFURT 
DE0005878003;GIL;DMG MORI AG O.N.;Industrial;Industrial Machinery;Germany;XETRA + FRANKFURT 
DE0005157101;HNL;DR. HOENLE AG O.N.;Industrial;Advanced Industrial Equipment;Germany;XETRA + FRANKFURT 
DE0005550602;DRW8;DRAEGERWERK ST.A.O.N.;Pharma & Healthcare;Medical Technology;Germany;XETRA + FRANKFURT 
DE0005550636;DRW3;DRAEGERWERK VZO O.N.;Pharma & Healthcare;Medical Technology;Germany;XETRA + FRANKFURT 
DE000A1TNUT7;DBAN;DT.BETEILIG.AG   NA O.N.;Financial Services;Private Equity & Venture Capital;Germany;XETRA + FRANKFURT 
DE000A14KRD3;DKG;DT.KONSUM REIT-AG;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE0008019001;PBB;DT.PFANDBRIEFBK AG;Banks;Credit Banks;Germany;XETRA + FRANKFURT 
DE0005557508;DTE;DT.TELEKOM AG NA;Telecommunication;Fixed-Line Telecommunication;Germany;XETRA + FRANKFURT 
DE0005565204;DUE;DUERR AG O.N.;Industrial;Industrial Machinery;Germany;XETRA + FRANKFURT 
DE000DWS1007;DWS;DWS GROUP GMBH+CO.KGAA ON;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT 
DE000ENAG999;EOAN;E.ON SE NA O.N.;Utilities;Multi-Utilities;Germany;XETRA + FRANKFURT 
DE0005659700;EUZ;ECKERT+ZIEGLER AG O.N.;Pharma & Healthcare;Medical Technology;Germany;XETRA + FRANKFURT 
DE0005854343;E4C;ECOTEL COMMUNICATION AG;Telecommunication;Fixed-Line Telecommunication;Germany;XETRA + FRANKFURT 
CH0303692047;ED4;EDAG ENGINEERING G.SF-,04;Automobile;Auto Parts & Equipment;Switzerland;XETRA + FRANKFURT 
DE0005654933;EIN3;EINHELL GERMANY VZO O.N.;Consumer;Home Construction & Furnishings;Germany;XETRA + FRANKFURT 
DE0005677108;ELG;ELMOS SEMICONDUCTOR INH O.N.;Technology;Semiconductors;Germany;XETRA + FRANKFURT 
DE0007856023;ZIL2;ELRINGKLINGER AG NA O.N.;Automobile;Auto Parts & Equipment;Germany;XETRA + FRANKFURT 
DE000A11Q059;ELB;ELUMEO SE;Retail;Retail, Internet;Germany;XETRA + FRANKFURT 
DE0006095003;CAP;ENCAVIS AG  INH. O.N.;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT 
DE000A3H2184;ECX;EPIGENOMICS AG NA O.N.;Pharma & Healthcare;Biotechnology;Germany;XETRA + FRANKFURT 
DE000A1X3WX6;ERWE;ERWE IMMOBILIEN AG INH O.N.;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE000EVNK013;EVK;EVONIK INDUSTRIES NA O.N.;Chemicals;Chemicals, Specialty;Germany;XETRA + FRANKFURT 
DE0005664809;EVT;EVOTEC SE  INH O.N.;Pharma & Healthcare;Biotechnology;Germany;XETRA + FRANKFURT 
LU0472835155;EXC;EXCEET GROUP SCA RED. A;Technology;Electronic Components & Hardware;Luxembourg;XETRA + FRANKFURT 
AT0000785407;FAA;FABASOFT AG;Software;Software;Austria;XETRA + FRANKFURT 
DE0005772206;FIE;FIELMANN AG O.N.;Retail;Retail, Specialty;Germany;XETRA + FRANKFURT 
DE0007201907;SIS;FIRST SENSOR AG O.N.;Technology;Semiconductors;Germany;XETRA + FRANKFURT 
DE000FTG1111;FTK;FLATEXDEGIRO AG  NA O.N.;Financial Services;Securities Brokers;Germany;XETRA + FRANKFURT 
DE0005774103;FEV;FORTEC ELEKTRO. O.N.;Technology;Electronic Components & Hardware;Germany;XETRA + FRANKFURT 
DE000FPH9000;FPH;FRANCOTYP-POSTALIA HLDG;Industrial;Industrial Machinery;Germany;XETRA + FRANKFURT 
DE0005773303;FRA;FRAPORT AG FFM.AIRPORT;Transportation & Logistics;Transportation Services;Germany;XETRA + FRANKFURT 
DE000A0Z2ZZ5;FNTN;FREENET AG NA O.N.;Telecommunication;Wireless Communication;Germany;XETRA + FRANKFURT 
DE0005785802;FME;FRESENIUS MEDICAL CARE KGAA O.N.;Pharma & Healthcare;Health Care;Germany;XETRA + FRANKFURT 
DE0005785604;FRE;FRESENIUS SE+CO.KGAA O.N.;Pharma & Healthcare;Health Care;Germany;XETRA + FRANKFURT 
DE000A255F11;VH2;FRIEDRICH VORWERK GROUP SE;Industrial;Industrial Products & Services;Germany;XETRA + FRANKFURT 
DE000A3E5D64;FPE3;FUCHS PETROL.SE VZO O.N.;Chemicals;Chemicals, Specialty;Germany;XETRA + FRANKFURT 
�DE000A3E5D56;FPE;FUCHS PETROLUB SE O.N.;Chemicals;Chemicals, Specialty;Germany;XETRA + FRANKFURT 
DE000A0JJTG7;GTY;GATEWAY R.EST.AG O.N.;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE0006602006;G1A;GEA GROUP AG;Industrial;Industrial, Diversified;Germany;XETRA + FRANKFURT 
DE0005495626;GME;GERATHERM O.N.;Pharma & Healthcare;Medical Technology;Germany;XETRA + FRANKFURT 
DE000A0LD6E6;GXI;GERRESHEIMER AG;Pharma & Healthcare;Health Care;Germany;XETRA + FRANKFURT 
DE000A1K0201;GSC1;GESCO AG NA O.N.;Industrial;Industrial, Diversified;Germany;XETRA + FRANKFURT 
DE0005800601;GFT;GFT TECHNOLOGIES SE;Software;IT-Services;Germany;XETRA + FRANKFURT 
DE0005156004;GGS;GIGASET AG O.N.;Technology ;Communications Technology ;Germany;XETRA + FRANKFURT 
DE0007571424;GKS;GK SOFTWARE  INH O.N.;Software;Software;Germany;XETRA + FRANKFURT 
LU2010095458;GFG;GLOBAL FASHION GRP EO-,01;Retail;Retail, Internet;Luxembourg;XETRA + FRANKFURT 
DE0005895403;GMM;GRAMMER AG O.N.;Automobile;Auto Parts & Equipment;Germany;XETRA + FRANKFURT 
LU0775917882;GYC;GRAND CITY PROPERT.EO-,10;Financial Services;Real Estate;Luxembourg;XETRA + FRANKFURT 
DE000A161N30;GLJ;GRENKE AG NA O.N.;Financial Services;Diversified Financial ;Germany;XETRA + FRANKFURT 
DE000A2E4T77;2HRA;H+R KGAA  INH. O.N.;Chemicals;Chemicals, Specialty;Germany;XETRA + FRANKFURT 
CNE1000031C1;690D;HAIER SMART HOME CO.D YC1;Consumer;Household Appliances & Housewares;China;XETRA + FRANKFURT 
DE000A3H2333;HAB;HAMBORNER REIT AG O.N.;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE000A0S8488;HHFA;HAMBURGER HAFEN UND LOGISTIK A-SP NA;Transportation & Logistics;Transportation Services;Germany;XETRA + FRANKFURT 
DE0008402215;HNR1;HANNOVER RUECK SE NA O.N.;Insurance;Re-Insurance;Germany;XETRA + FRANKFURT 
DE000HLAG475;HLAG;HAPAG-LLOYD AG NA O.N.;Transportation & Logistics;Logistics;Germany;XETRA + FRANKFURT 
DE0006042708;HAW;HAWESKO HOLDING  INH O.N.;Retail;Retail, Food & Drug;Germany;XETRA + FRANKFURT 
DE000A11QVV0;WL6;HEIDELBERG PHARMA AG O.N.;Pharma & Healthcare;Biotechnology;Germany;XETRA + FRANKFURT 
DE0006047004;HEI;HEIDELBERGCEMENT AG O.N.;Construction;Building Materials;Germany;XETRA + FRANKFURT 
DE0007314007;HDD;HEIDELBERGER DRUCKMASCHINEN .O.N.;Industrial;Industrial Machinery;Germany;XETRA + FRANKFURT 
DE000A13SX22;HLE;HELLA GMBH+CO. KGAA O.N.;Automobile;Auto Parts & Equipment;Germany;XETRA + FRANKFURT 
DE000A161408;HFG;HELLOFRESH SE  INH O.N.;Retail;Retail, Internet;Germany;XETRA + FRANKFURT 
DE0006048408;HEN;HENKEL AG+CO.KGAA ST O.N.;Consumer;Personal Products;Germany;XETRA + FRANKFURT 
DE0006048432;HEN3;HENKEL AG+CO.KGAA VZO;Consumer;Personal Products;Germany;XETRA + FRANKFURT 
DE000HAG0005;5UH;HENSOLDT AG NA O.N.;Technology;Semiconductors;Germany;XETRA + FRANKFURT 
DE000A3CMGN3;A3CMGN;HGEARS AG;Automobile;Auto Parts & Equipment;Germany;XETRA + FRANKFURT 
CH0006539198;HLG;HIGHLIGHT COMMUNICATIONS AG INH.SF 1;Media;Movies & Entertainment;Switzerland;XETRA + FRANKFURT 
DE0006070006;HOT;HOCHTIEF AG;Construction;Construction & Engineering;Germany;XETRA + FRANKFURT 
DE000A14KEB5;H24;HOME24 SE  INH O.N.;Retail;Retail, Internet;Germany;XETRA + FRANKFURT 
DE0006083405;HBH;HORNBACH HOLDING ST O.N.;Retail;Retail, Specialty;Germany;XETRA + FRANKFURT 
DE000A1PHFF7;BOSS;HUGO BOSS AG NA O.N.;Consumer;Clothing & Footwear;Germany;XETRA + FRANKFURT 
DE0005493365;HYQ;HYPOPORT SE  NA O.N.;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT 
DE0006200108;INH;INDUS HOLDING AG;Industrial ;Industrial, Diversified;Germany;XETRA + FRANKFURT 
DE0006231004;IFX;INFINEON TECH.AG NA O.N.;Technology;Semiconductors;Germany;XETRA + FRANKFURT 
DE0005759807;IXX;INIT INNOVATION O.N.;Technology;Electronic Components & Hardware;Germany;XETRA + FRANKFURT 
DE000A2NBX80;INS;INSTONE REAL ESTATE GROUP SE;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE000A254211;ISH2;INTERSHOP COMMUNICATIONS INH O.N.;Software;Internet;Germany;XETRA + FRANKFURT 
DE0005874846;IS7;INTICA SYSTEMS AG;Technology;Electronic Components & Hardware;Germany;XETRA + FRANKFURT 
DE0005859698;IVX;INVISION AG;Software;Software;Germany;XETRA + FRANKFURT 
DE0007448508;IVU;IVU TRAFFIC TECHN.AG O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT 
DE000A2NB601;JEN;JENOPTIK AG  NA O.N.;Industrial;Advanced Industrial Equipment;Germany;XETRA + FRANKFURT 
